11,"14th October 2017 05:42:37 PM",15:52,"В Харькове памятник УПА облили краской",/rus/news/2017/10/14/7158372/,"В ""Молодежном"" парке Харькова неизвестные облили памятник воинам УПА красной краской. Фото",
12,"14th October 2017 05:42:37 PM",15:33,"Сирийские правительственные войска отбили в ИГИЛ город Маядин",https://www.eurointegration.com.ua/rus/news/2017/10/14/7072339/,"Сирийские правительственные войска восстановили контроль над городом Маядин, который был оплотом ""Исламского государства"" на востоке страны.",
13,"14th October 2017 05:42:37 PM",15:06,"Госспецсвязи предупреждает о новых возможных кибератаках ",http://www.epravda.com.ua/rus/news/2017/10/14/630110/,"Команда реагирования на компьютерные чрезвычайные события Украины CERT-UA Государственной службы специальной связи и защиты информации, сообщает о возможных кибератаках на информационные ресурсы Украины в период с 13 по 17 октября.",
14,"14th October 2017 05:42:37 PM",15:00,"<em>фото, видео</em>В центре Киева собираются националисты",/rus/news/2017/10/14/7158367/,"Около полутысячи активистов собираются группами в парке Шевченко возле памятника Грушевскому в Киеве.",
15,"14th October 2017 05:42:37 PM",14:46,"Парламентские зарплаты могут увеличится на треть миллиарда",/rus/news/2017/10/14/7158365/,"Бюджетные расходы на зарплаты нардепам, их помощникам и сотрудникам парламента и подведомственных организаций в 2018 году могут возрасти на 390,3 млн гривен. Инфографика",
16,"14th October 2017 05:42:37 PM",14:34,"Новая глава ПАСЕ написала письмо спикерам парламента РФ, готова встретиться ",http://www.eurointegration.com.ua/rus/news/2017/10/14/7072337/,"Временный глава ПАСЕ Стелла Кириакидес направила письмо спикерам верхней и нижней палат парламента РФ, в котором выразила готовность в ближайшее время встретиться.",
17,"14th October 2017 05:42:37 PM",13:58,"Из-за праздника нардепы начнут работу во вторник с обеда ",/rus/news/2017/10/14/7158359/,"Во вторник утреннее пленарное заседание Верховной Рады начнется в 13:00 и продлится всего 1 час. ",
18,"14th October 2017 05:42:37 PM",13:54,"ГПСУ пытается вернуть государству участок у границы с Венгрией",/rus/news/2017/10/14/7158358/,"В Госпогранслужбе заявили, что принимают все меры, чтобы вернуть в государственную собственность земельные участки, расположенные вдоль линии государственной границы в Закарпатской области.",
19,"14th October 2017 05:42:37 PM",13:45,"Омелян обещает еще один автобан до Львова",http://www.epravda.com.ua/rus/news/2017/10/14/630109/,"Министр инфраструктуры Владимир Омелян заявил, что в 2019 году может начаться строительство автобана Львов-Дубно.",
20,"14th October 2017 05:42:37 PM",13:30,"Все сирийские боевики ИГИЛ покинули Ракку – наблюдатели",http://www.eurointegration.com.ua/rus/news/2017/10/14/7072334/,"Все сирийские боевики террористической группировки ""Исламское государство"" покинули город Ракка, отдельные районы которого до сих пор оставались под контролем джихадистов.",
21,"14th October 2017 05:42:37 PM",13:13,"В зоне АТО боевики ведут прицельный огонь, двое военных ранены",/rus/news/2017/10/14/7158355/,"В зоне проведения АТО один военный получил ранения возле н.п. Новоалександровка, один военный ГПСУ получил ранение в результате обстрела КПП ""Марьинка"".",
22,"14th October 2017 05:42:37 PM",12:53,"Британия обвиняет Иран в кибератаке на парламент – СМИ",http://www.eurointegration.com.ua/rus/news/2017/10/14/7072331/,"За кибератакой на британский парламент, которая поразила десятки депутатов, в том числе премьера Терезу Мэй, стоит Иран.",
23,"14th October 2017 05:42:37 PM",12:45,"Украинские военные в АТО получат праздничные премии",/rus/news/2017/10/14/7158353/,"Украинские военные, которые несут службу в зоне антитеррористической операции, получат праздничные премии от 1 тысячи гривен.",
24,"14th October 2017 05:42:37 PM",12:34,"Порошенко: До конца года армия получит более тысячи единиц техники",/rus/news/2017/10/14/7158351/,"В 2017 году украинская армия получила более 1,3 тысячи единиц военной техники, а до конца года получит еще более 1 тысячи.",
25,"14th October 2017 05:42:37 PM",11:47,"Экс-главу аппарата Белого дома допросили в деле вмешательства РФ в выборы",/rus/news/2017/10/14/7158348/,"Бывшего главу аппарата Белого Дома Райнса Прибеса допросили в деле вмешательство России в президентские выборы в США.",
26,"14th October 2017 05:42:37 PM",11:38,"Данилюк назвал три шага Украины для получения транша МВФ",http://www.epravda.com.ua/rus/news/2017/10/14/630106/,"Украина приблизилась к выполнению рекомендаций Международного валютного фонда для получения очередного транша в рамках программы расширенного финансирования EFF.",
27,"14th October 2017 05:42:37 PM",11:12,"Турчинов: Украинский ""Скиф"" может уничтожить любую бронетанковую технику",/rus/news/2017/10/14/7158345/,"Секретарь Совета нацбезопасности и обороны заявил об успешных испытаниях украинского противотанкового ракетного комплекса ""Скиф"".",
28,"14th October 2017 05:42:37 PM",10:53,"Могерини: США не имеют права выйти из ядерного соглашения с Ираном",http://www.eurointegration.com.ua/rus/news/2017/10/14/7072329/,"США не имеют права в одностороннем порядке прекратить участие в ядерной сделке с Ираном.",
29,"14th October 2017 05:42:37 PM",10:20,"Более 70 млрд грн нужно на оплату субсидий в этом году – Минсоцполитики",/rus/news/2017/10/14/7158339/,"Для того, чтобы оплатить субсидии в текущем году, Украине нужно более 70 миллиардов гривен.",
30,"14th October 2017 05:42:37 PM",10:03,"Президент подал законопроект о присоединении к Пан-Евро-Мед",http://www.eurointegration.com.ua/rus/news/2017/10/14/7072326/,"Президент Петр Порошенко внес в Верховную раду законопроект о присоединении Украины к Региональной конвенции о пан-евро-средиземноморские преференциальные правила происхождения.",
31,"14th October 2017 05:42:37 PM",09:48,"Украинская армия получит 62 новых танка – Порошенко",/rus/news/2017/10/14/7158334/,"Украинские военные получат 200 единиц новой техники, среди которой - 62 танка.",
32,"14th October 2017 05:42:37 PM",07:57,"Сутки в АТО: 21 обстрел, у Новоалександровки ранен боец ВСУ",/rus/news/2017/10/14/7158328/,"В целом за прошедшие сутки незаконные вооруженные формирования 21 раз нарушили перемирие. В результате боевых действий получил ранения один военнослужащий украинской армии.",
33,"14th October 2017 05:42:37 PM",07:25,"Посол: Сербия игнорирует данные об участии своих граждан в войне на Донбассе",/rus/news/2017/10/14/7158327/,"Украинская сторона информировала Белград об участии сербских граждан в конфликте на востоке Украины на стороне поддерживаемых Россией боевиков, но реакции сербской стороны на это не получила.",
34,"14th October 2017 05:42:37 PM",07:07,"Подозреваемого в госизмене экс-начальника контрразведки СБУ освободили из-под стражи",/rus/news/2017/10/14/7158326/,"Шевченковский районный суд Киева смягчил меру пресечения бывшему начальнику департамента контрразведки СБУ Владимиру Бику, которого подозревают в государственной измене.",
35,"14th October 2017 05:42:37 PM",06:49,"<em>фото</em>Президент Исландии попал в больницу со сломанным носом",/rus/news/2017/10/14/7158325/,"Президент Исландии Гвюдни Йоуханнессон сломал нос, упав в ванной",
36,"14th October 2017 05:42:37 PM",06:19,"Волкер и Чалый обсудили миротворческую миссию ООН на Донбассе",/rus/news/2017/10/14/7158324/,"Посол Украины в США Валерий Чалый обсудил ситуацию на Донбассе со Специальным представителем США по вопросам Украины, Послом Куртом Волкером.",
37,"14th October 2017 05:42:37 PM",05:51,"СК РФ допросил Тюрина как свидетеля по делу Ворненкова, тот всё отрицает",/rus/news/2017/10/14/7158323/,"Криминальный авторитет Владимир Тюрин, которого обвиняют в организации убийства Дениса Вороненкова, в Следственном комитете РФ заявил об отсутствии мотивов для совершения этого преступления.",
38,"14th October 2017 05:42:37 PM",05:02,"NBC: Манафорт за 10 лет ""одолжил"" у Дерипаски $60 млн",/rus/news/2017/10/14/7158322/,"Бывший руководитель избирательной кампании президента Дональда Трампа и политтехнолог Партии регионов и ее преемницы - пратии ""Оппозиционный блок"" Пол Манафорт получил кредиты от российского олигарха Олега Дерипаски на общую сумму $ 60 млн.",
39,"14th October 2017 05:42:37 PM",03:41,"Матиос: 150 км границы с Венгрией не контролируются",/rus/news/2017/10/14/7158321/,"150 километров украинской границы с Венгрией являются частными и представляют собой обыкновенные земельные участки.",
40,"14th October 2017 05:42:37 PM",03:02,"Столтенберг: Война с КНДР будет иметь опустошительные последствия",/rus/news/2017/10/14/7158320/,"Североатлантический альянс предостерег мир от войны с Северной Кореей.",
41,"14th October 2017 05:42:37 PM",02:11,"Тимошенко заявила о намерении баллотироваться на пост президента",/rus/news/2017/10/14/7158319/,"Лидер фракции ""Батькивщина"" Юлия Тимошенко намерена баллотироваться на пост президента Украины на следующих выборах.",
42,"14th October 2017 05:42:37 PM",01:55,"Госдеп: США остаются в ядерном соглашении по Ирану",/rus/news/2017/10/14/7158318/,"США остаются в ядерном соглашении по Ирану, но расширяют подход к оценке террористической деятельности этой страны.",
43,"14th October 2017 05:42:37 PM",01:06,"Адвокат: Сенцова доставили в российскую колонию на Ямал",/rus/news/2017/10/14/7158317/,"Украинского режиссера, крымчанина Олега Сенцова, которого незаконно осудили и содержат в России, доставили в город Лабытнанги (Ямало-Ненецкий автономный округ).",
44,"14th October 2017 05:42:37 PM",00:50,"В Косово избили известного журналиста-расследователя",/rus/news/2017/10/14/7158316/,"В Косово избили известного журналиста-расследователя Вехби Каджтази, который возглавляет сайт Insajderi. Нападение произошло 13 октября в кафе Приштины.",
45,"14th October 2017 05:42:37 PM",00:32,"Новым главой ЮНЕСКО избрана француженка Одри Азуле",/rus/news/2017/10/14/7158315/,"Новым генеральным директором Организации ООН по вопросам образования, науки и культуры (ЮНЕСКО) избрана бывший министр культуры Франции Одри Азуле.",
